name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Aptive,aptive|wd1|aptive,workday,50,low,1,workday; 20 US jobs
Aquaamerica,aquaamerica|wd5|essential_careers,workday,50,low,1,workday; 20 US jobs
Arcis,arcis|wd12|extna,workday,50,low,1,workday; 20 US jobs
Archildrens,archildrens|wd1|external_career_site,workday,50,low,1,workday; 20 US jobs
Arianegroup,arianegroup|wd3|groupmobility-parentcompanies,workday,50,low,1,workday; 20 US jobs
Arianegroup,arianegroup|wd3|groupmobility-subsidiaries,workday,50,low,1,workday; 20 US jobs
Arienscompany,arienscompany|wd5|external,workday,50,low,1,workday; 20 US jobs
Arianegroup,arianegroup|wd3|externalall,workday,50,low,1,workday; 20 US jobs
Armaninollp,armaninollp|wd1|armanino,workday,50,low,1,workday; 20 US jobs
Arrowstreetcapital,arrowstreetcapital|wd5|arrowstreet,workday,50,low,1,workday; 20 US jobs
Argonne,argonne|wd1|argonne_careers,workday,50,low,1,workday; 20 US jobs
Arriva,arriva|wd3|careers,workday,50,low,1,workday; 20 US jobs
Ascendperformancematerials,ascendperformancematerials|wd1|ascend,workday,50,low,1,workday; 20 US jobs
Asda,asda|wd103|asdajobs,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|ketteringhomecare,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|beaumonthomehealthandhospice,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|mercymedicalcenterhomehealthandhospice,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|ashn,workday,50,low,1,workday; 20 US jobs
Asd,asd|wd5|asd20,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|theohiostateuniversitywexnermedicalcenterhomecare,workday,50,low,1,workday; 20 US jobs
Askbio,askbio|wd12|askbio,workday,50,low,1,workday; 20 US jobs
Ashealthnet,ashealthnet|wd1|summahealthathomeandhospice,workday,50,low,1,workday; 20 US jobs
Asmglobal,asmglobal|wd1|careers,workday,50,low,1,workday; 20 US jobs
Aspenvalleyhealth,aspenvalleyhealth|wd501|avh,workday,50,low,1,workday; 20 US jobs
Aspca,aspca|wd1|aspcawebsite,workday,50,low,1,workday; 20 US jobs
Assetmark,assetmark|wd5|assetmark_careers,workday,50,low,1,workday; 20 US jobs
Aspendental,aspendental|wd1|azpetvet,workday,50,low,1,workday; 20 US jobs
Astound,astound|wd108|astound_careers,workday,50,low,1,workday; 20 US jobs
Aspendental,aspendental|wd1|mychaptercom-careers,workday,50,low,1,workday; 20 US jobs
Aspendental,aspendental|wd1|careers_the_aspen_group,workday,50,low,1,workday; 20 US jobs
Associatedbank,associatedbank|wd1|external_careers,workday,50,low,1,workday; 20 US jobs
