name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Bethesdahealthgroup,bethesdahealthgroup,greenhouse,40,low,1,bulk-verified; 126 jobs
Ixllearning,ixllearning,greenhouse,40,low,1,bulk-verified; 126 jobs
Standtogether,standtogether,lever,40,low,1,bulk-verified; 126 jobs
Fluidstack,fluidstack,ashby,40,low,1,bulk-verified; 126 jobs
Platacard,platacard,greenhouse,40,low,1,bulk-verified; 125 jobs
Filevine,filevine,lever,40,low,1,bulk-verified; 125 jobs
10Xteam,10xteam,ashby,40,low,1,bulk-verified; 125 jobs
Rebuildmanufacturing,rebuildmanufacturing,greenhouse,40,low,1,bulk-verified; 124 jobs
Veepee,veepee,lever,40,low,1,bulk-verified; 124 jobs
Wachter,wachter,lever,40,low,1,bulk-verified; 124 jobs
Catonetworks,catonetworks,greenhouse,40,low,1,bulk-verified; 123 jobs
Curaleaf,curaleaf,greenhouse,40,low,1,bulk-verified; 123 jobs
Inhometherapy,inhometherapy,greenhouse,40,low,1,bulk-verified; 123 jobs
Sophos,sophos,lever,40,low,1,bulk-verified; 123 jobs
Voodoo,voodoo,ashby,40,low,1,bulk-verified; 123 jobs
Biospanjobs,biospanjobs,greenhouse,40,low,1,bulk-verified; 122 jobs
Specialty1,specialty1,greenhouse,40,low,1,bulk-verified; 122 jobs
Thinkahead,thinkahead,lever,40,low,1,bulk-verified; 122 jobs
Acornhealth,acornhealth,greenhouse,40,low,1,bulk-verified; 121 jobs
Ionq,ionq,greenhouse,40,low,1,bulk-verified; 120 jobs
Postman,postman,greenhouse,40,low,1,bulk-verified; 120 jobs
Harmattan Ai,harmattan-ai,ashby,40,low,1,bulk-verified; 120 jobs
Iceye,iceye,ashby,40,low,1,bulk-verified; 120 jobs
Diligentcorporation,diligentcorporation,greenhouse,40,low,1,bulk-verified; 119 jobs
Pfm,pfm,greenhouse,40,low,1,bulk-verified; 119 jobs
Quince,quince,greenhouse,40,low,1,bulk-verified; 119 jobs
Waremalcomb,waremalcomb,lever,40,low,1,bulk-verified; 119 jobs
Communitymanager,communitymanager,greenhouse,40,low,1,bulk-verified; 118 jobs
Lpc,lpc,greenhouse,40,low,1,bulk-verified; 118 jobs
Idt,idt,lever,40,low,1,bulk-verified; 118 jobs
Barbaricum,barbaricum,greenhouse,40,low,1,bulk-verified; 117 jobs
Andersencorp,andersencorp,lever,40,low,1,bulk-verified; 117 jobs
Brillio,brillio-2,lever,40,low,1,bulk-verified; 117 jobs
Handshake,handshake,ashby,40,low,1,bulk-verified; 117 jobs
Digitalocean98,digitalocean98,greenhouse,40,low,1,bulk-verified; 116 jobs
Eositsolutions,eositsolutions,greenhouse,40,low,1,bulk-verified; 116 jobs
Espace,espace,lever,40,low,1,bulk-verified; 116 jobs
Netskope,netskope,greenhouse,40,low,1,bulk-verified; 115 jobs
Telus Digital,telus-digital,ashby,40,low,1,bulk-verified; 115 jobs
Snapmobileinc,snapmobileinc,greenhouse,40,low,1,bulk-verified; 114 jobs
Merceradvisors,merceradvisors,greenhouse,40,low,1,bulk-verified; 113 jobs
Abclegalservices,abclegalservices,greenhouse,40,low,1,bulk-verified; 112 jobs
Rubrik,rubrik,greenhouse,40,low,1,bulk-verified; 112 jobs
Wadetrim,wadetrim,lever,40,low,1,bulk-verified; 112 jobs
Flywheeldigital,flywheeldigital,greenhouse,40,low,1,bulk-verified; 111 jobs
