name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Cityrisesafety,cityrisesafety,bamboohr,40,low,1,bamboohr; 30 US jobs
Data4,data4,bamboohr,40,low,1,bamboohr; 30 US jobs
Jbenton,jbenton,bamboohr,40,low,1,bamboohr; 30 US jobs
Kciconstruction,kciconstruction,bamboohr,40,low,1,bamboohr; 30 US jobs
Pauldavis,pauldavis,bamboohr,40,low,1,bamboohr; 30 US jobs
Questel,questel,bamboohr,40,low,1,bamboohr; 30 US jobs
Teamargenta,teamargenta,bamboohr,40,low,1,bamboohr; 30 US jobs
Westlibertyuniversity,westlibertyuniversity,bamboohr,40,low,1,bamboohr; 30 US jobs
Activategames,activategames,bamboohr,40,low,1,bamboohr; 29 US jobs
Aisobservers,aisobservers,bamboohr,40,low,1,bamboohr; 29 US jobs
Annieaesthetic,annieaesthetic,bamboohr,40,low,1,bamboohr; 29 US jobs
Apexdki,apexdki,bamboohr,40,low,1,bamboohr; 29 US jobs
Armstrongfluidtechnology,armstrongfluidtechnology,bamboohr,40,low,1,bamboohr; 29 US jobs
Bgcokanagan,bgcokanagan,bamboohr,40,low,1,bamboohr; 29 US jobs
Cfp,cfp,bamboohr,40,low,1,bamboohr; 29 US jobs
Dccs,dccs,bamboohr,40,low,1,bamboohr; 29 US jobs
Ronhoover,ronhoover,bamboohr,40,low,1,bamboohr; 29 US jobs
Tnrak,tnrak,bamboohr,40,low,1,bamboohr; 29 US jobs
Greaterminnesota,greaterminnesota,bamboohr,40,low,1,bamboohr; 28 US jobs
Kellerassociates,kellerassociates,bamboohr,40,low,1,bamboohr; 28 US jobs
Mesa,mesa,bamboohr,40,low,1,bamboohr; 28 US jobs
Nexthopai,nexthopai,bamboohr,40,low,1,bamboohr; 28 US jobs
Ppeng,ppeng,bamboohr,40,low,1,bamboohr; 28 US jobs
Sixworks,sixworks,bamboohr,40,low,1,bamboohr; 28 US jobs
Skinmds,skinmds,bamboohr,40,low,1,bamboohr; 28 US jobs
Unitedcapmn,unitedcapmn,bamboohr,40,low,1,bamboohr; 28 US jobs
Axiosint,axiosint,bamboohr,40,low,1,bamboohr; 27 US jobs
Camurren,camurren,bamboohr,40,low,1,bamboohr; 27 US jobs
Fosteradopt,fosteradopt,bamboohr,40,low,1,bamboohr; 27 US jobs
Nomadgcs,nomadgcs,bamboohr,40,low,1,bamboohr; 27 US jobs
Ripplefiber,ripplefiber,bamboohr,40,low,1,bamboohr; 27 US jobs
Rockwest,rockwest,bamboohr,40,low,1,bamboohr; 27 US jobs
Thepianoplace,thepianoplace,bamboohr,40,low,1,bamboohr; 27 US jobs
Tmtgolf,tmtgolf,bamboohr,40,low,1,bamboohr; 27 US jobs
Accelion,accelion,bamboohr,40,low,1,bamboohr; 26 US jobs
Aecc,aecc,bamboohr,40,low,1,bamboohr; 26 US jobs
Atlashotels,atlashotels,bamboohr,40,low,1,bamboohr; 26 US jobs
Fz,fz,bamboohr,40,low,1,bamboohr; 26 US jobs
Impactcs,impactcs,bamboohr,40,low,1,bamboohr; 26 US jobs
Pneco,pneco,bamboohr,40,low,1,bamboohr; 26 US jobs
Rednucleus,rednucleus,bamboohr,40,low,1,bamboohr; 26 US jobs
