name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Weir,weir|wd3|weir_external_careers,workday,40,low,1,delta-verified; 222 jobs
Xai,xai,greenhouse,40,low,1,delta-verified; 221 jobs
Medimarketgroup,medimarketgroup|wd103|mmg,workday,40,low,1,delta-verified; 218 jobs
Sonoco,sonoco|wd1|corporatecareers,workday,40,low,1,delta-verified; 218 jobs
Wpp,wpp,greenhouse,40,low,1,delta-verified; 217 jobs
Verawholehealth,verawholehealth|wd1|mpg,workday,40,low,1,delta-verified; 217 jobs
Cswg,cswg|wd1|cs_careers,workday,40,low,1,delta-verified; 215 jobs
Clearwateranalytics,clearwateranalytics|wd1|clearwater_analytics_careers,workday,40,low,1,delta-verified; 213 jobs
Terminix,terminix|wd1|rentokilnorthamerica,workday,40,low,1,delta-verified; 213 jobs
Capefearvalley,capefearvalley|wd1|cfv,workday,40,low,1,delta-verified; 209 jobs
Unity3D,unity3d,greenhouse,40,low,1,delta-verified; 203 jobs
Urbancompass,urbancompass,greenhouse,40,low,1,delta-verified; 200 jobs
Comfortsystemsusa,comfortsystemsusa|wd1|corpcareers,workday,40,low,1,delta-verified; 200 jobs
Ochsner,ochsner|wd1|ochsnerlsuhealthsystemnl,workday,40,low,1,delta-verified; 200 jobs
Tripactions,tripactions,greenhouse,40,low,1,delta-verified; 195 jobs
Thetradedesk,thetradedesk,greenhouse,40,low,1,delta-verified; 194 jobs
Corebridgefinancial,corebridgefinancial|wd1|corebridgefinancial,workday,40,low,1,delta-verified; 192 jobs
Trueanomalyinc,trueanomalyinc,greenhouse,40,low,1,delta-verified; 185 jobs
Zillow,zillow|wd5|zillow_group_external,workday,40,low,1,delta-verified; 185 jobs
Westernalliancebank,westernalliancebank|wd5|wab,workday,40,low,1,delta-verified; 184 jobs
Juliusbaer,juliusbaer|wd3|external,workday,40,low,1,delta-verified; 183 jobs
Woodward,woodward|wd5|woodward,workday,40,low,1,delta-verified; 182 jobs
Via,via,greenhouse,40,low,1,delta-verified; 177 jobs
Worldpay,worldpay|wd5|worldpay_external_careers_site,workday,40,low,1,delta-verified; 174 jobs
Workato,workato,greenhouse,40,low,1,delta-verified; 173 jobs
Toojaysdeli,toojaysdeli,greenhouse,40,low,1,delta-verified; 168 jobs
Childrensplace,childrensplace|wd1|tcp05,workday,40,low,1,delta-verified; 168 jobs
Suitsupply,suitsupply,greenhouse,40,low,1,delta-verified; 166 jobs
Wizinc,wizinc,greenhouse,40,low,1,delta-verified; 165 jobs
Centific,centific|wd1|centific_global,workday,40,low,1,delta-verified; 163 jobs
Collectorsuniverse,collectorsuniverse|wd1|collectors,workday,40,low,1,delta-verified; 163 jobs
Driscoll,driscoll|wd1|dhs,workday,40,low,1,delta-verified; 159 jobs
Theoriamedical,theoriamedical,greenhouse,40,low,1,delta-verified; 158 jobs
Cornell,cornell|wd1|cornellpositions,workday,40,low,1,delta-verified; 158 jobs
Commercebank,commercebank|wd1|commercejobs,workday,40,low,1,delta-verified; 157 jobs
Thenewyorktimes,thenewyorktimes,greenhouse,40,low,1,delta-verified; 154 jobs
Xpinc,xpinc,greenhouse,40,low,1,delta-verified; 153 jobs
Zetaglobal,zetaglobal,greenhouse,40,low,1,delta-verified; 152 jobs
Westernunion,westernunion|wd5|hiddenwujobs,workday,40,low,1,delta-verified; 147 jobs
Vast,vast,greenhouse,40,low,1,delta-verified; 145 jobs
Worldacceptance,worldacceptance|wd12|world_finance,workday,40,low,1,delta-verified; 144 jobs
Cornell,cornell|wd1|cornellcareerpage,workday,40,low,1,delta-verified; 143 jobs
Lfb,lfb|wd3|lfb_external_careers,workday,40,low,1,delta-verified; 141 jobs
Wilsonco,wilsonco|wd5|careers,workday,40,low,1,delta-verified; 140 jobs
Vetevolve,vetevolve,greenhouse,40,low,1,delta-verified; 138 jobs
Snapchat,snapchat|wd1|snap,workday,40,low,1,delta-verified; 138 jobs
Charleskeith,charleskeith|wd3|external,workday,40,low,1,delta-verified; 137 jobs
Cumminggroup,cumminggroup|wd1|cgc,workday,40,low,1,delta-verified; 136 jobs
Drivetime,drivetime|wd1|drivetime,workday,40,low,1,delta-verified; 136 jobs
Valtech,valtech,greenhouse,40,low,1,delta-verified; 135 jobs
Lbg,lbg|wd3|lloyds_technology_centre,workday,40,low,1,delta-verified; 135 jobs
Wellington,wellington|wd5|external,workday,40,low,1,delta-verified; 135 jobs
